50.93.200.151 - - [18/Jul/2014:02:08:34 +0100] "GET / HTTP/1.1" 200 11217
171.111.153.168 - - [18/Jul/2014:02:27:48 +0100] "GET / HTTP/1.1" 200 11217
185.8.49.146 - - [18/Jul/2014:05:36:03 +0100] "HEAD / HTTP/1.0" 200 -
171.111.153.168 - - [18/Jul/2014:06:23:17 +0100] "GET / HTTP/1.1" 200 11217
14.17.77.26 - - [18/Jul/2014:06:30:16 +0100] "GET /manager/html HTTP/1.1" 401 2486
171.111.153.168 - - [18/Jul/2014:08:17:18 +0100] "GET / HTTP/1.1" 200 11217
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/ HTTP/1.1" 200 5809
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/common.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/cloud.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/analysis.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/dashboard.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/cores.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/dataimport.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/index.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/java-properties.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/logging.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/menu.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/plugins.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/documents.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/query.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/replication.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/schema-browser.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/styles/threads.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/css/chosen.css?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:50 +0100] "GET /solr/js/require.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/main.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/order.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/console.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.cookie.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.form.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.jstree.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.sammy.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.timeago.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.blockUI.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/jquery.ajaxfileupload.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/highlight.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/linker.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/ZeroClipboard.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/d3.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/lib/chosen.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/app.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/analysis.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/cloud.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/cores.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/documents.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/dataimport.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/dashboard.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/file.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/logging.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/java-properties.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/ping.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/index.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/plugins.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/query.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/replication.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/schema-browser.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:51 +0100] "GET /solr/js/scripts/threads.js?_=4.5.1 HTTP/1.1" 304 -
82.8.212.105 - - [18/Jul/2014:08:41:52 +0100] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1405669317354 HTTP/1.1" 200 424
82.8.212.105 - - [18/Jul/2014:08:41:52 +0100] "GET /solr/admin/info/system?wt=json&_=1405669317535 HTTP/1.1" 200 2802
82.8.212.105 - - [18/Jul/2014:08:41:52 +0100] "GET /solr/tpl/query.html?_=1405669317687 HTTP/1.1" 200 13119
82.8.212.105 - - [18/Jul/2014:08:41:55 +0100] "GET /solr/collection1/select?q=*%3A*&wt=json&indent=true&_=1405669320224 HTTP/1.1" 200 18199
95.211.213.26 - - [18/Jul/2014:08:43:23 +0100] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 400 -
171.111.153.168 - - [18/Jul/2014:10:07:39 +0100] "GET / HTTP/1.1" 200 11217
74.207.246.143 - - [18/Jul/2014:10:38:58 +0100] "GET / HTTP/1.0" 200 11197
14.136.116.150 - - [18/Jul/2014:13:01:47 +0100] "GET / HTTP/1.1" 200 11217
14.136.116.150 - - [18/Jul/2014:13:01:48 +0100] "GET /ncsi.txt HTTP/1.1" 404 967
14.136.116.150 - - [18/Jul/2014:13:01:52 +0100] "GET /HNAP1/ HTTP/1.1" 404 963
14.136.116.150 - - [18/Jul/2014:15:32:55 +0100] "GET / HTTP/1.1" 200 11217
14.136.116.150 - - [18/Jul/2014:15:32:56 +0100] "GET /CFIDE/administrator/index.cfm HTTP/1.0" 404 1009
14.136.116.150 - - [18/Jul/2014:15:32:56 +0100] "POST /_vti_bin/_vti_aut/author.dll HTTP/1.1" 404 1007
14.136.116.150 - - [18/Jul/2014:15:33:03 +0100] "GET /jmx-console/ HTTP/1.1" 404 975
14.136.116.150 - - [18/Jul/2014:15:33:03 +0100] "GET /administrator/ HTTP/1.1" 404 979
14.136.116.150 - - [18/Jul/2014:15:33:04 +0100] "GET /phpbb/index.php HTTP/1.1" 404 981
14.136.116.150 - - [18/Jul/2014:15:33:04 +0100] "GET /phpbb/docs/CHANGELOG.html HTTP/1.1" 404 1001
14.136.116.150 - - [18/Jul/2014:15:33:05 +0100] "GET /phpBB/index.php HTTP/1.1" 404 981
14.136.116.150 - - [18/Jul/2014:15:33:05 +0100] "GET /phpBB/docs/CHANGELOG.html HTTP/1.1" 404 1001
